Epic,PR,Branch,Depends on,Acceptance Criteria,Labels,Milestone
"WB-E4 Diagnostics Hub","PR-WB-11 feat(workbench): diagnostics model and panel","codex/wb-11-diagnostics-panel","PR-WB-06, PR-WB-10","Diagnostics are grouped by parse, type, module, verify, and runtime families with preserved code, severity, range, and file fields and can be opened from command results.","workbench;diagnostics;authoring;priority:high","WB-0.2 Authoring"
"WB-E4 Diagnostics Hub","PR-WB-12 feat(workbench): diagnostics spec links","codex/wb-12-diagnostics-links","PR-WB-07, PR-WB-11","Diagnostics panel supports search by error code and links to related spec sections and error-family docs, including import/export module codes where available.","workbench;diagnostics;docs-linking;priority:medium","WB-0.2 Authoring"
"WB-E5 Formatter","PR-WB-13 feat(workbench): formatter integration via smc fmt","codex/wb-13-formatter-integration","PR-WB-09, PR-WB-10, PR-WB-11","Format File, Format Project, and Format Check call only the canonical smc fmt surface, support a preview or diff flow, and clearly mark the formatter as draft or stable according to repo policy.","workbench;formatter;authoring;priority:high","WB-0.2 Authoring"
"WB-E6 Inspectors","PR-WB-14 feat(workbench): disasm and verify inspector","codex/wb-14-disasm-verify-inspector","PR-WB-06, PR-WB-09","Workbench renders disassembly and verifier results in dedicated panels using real svm disasm and verified-path outputs without inventing a second bytecode or verifier model.","workbench;inspector;disasm;verify;priority:medium","WB-0.3 Inspect"
"WB-E6 Inspectors","PR-WB-15 feat(workbench): trace and runtime inspection","codex/wb-15-trace-runtime-inspector","PR-WB-14","Trace, quota, capability, and runtime summaries are visible as inspection views driven by existing Semantic outputs and do not reimplement VM or runtime semantics in the UI.","workbench;inspector;trace;runtime;priority:medium","WB-0.3 Inspect"
"WB-E7 Release Console","PR-WB-16 feat(workbench): release console","codex/wb-16-release-console","PR-WB-05, PR-WB-08, PR-WB-15","One screen shows release gates, artifact list, known limits, docs alignment, and asset-smoke status, and every status is derived from real checks or repository docs rather than manual toggles.","workbench;release;console;priority:high","WB-0.4 Operate"
"WB-E7 Release Console","PR-WB-17 feat(workbench): one-click validation run","codex/wb-17-validation-run","PR-WB-16","Workbench can trigger the clean validation pass and export a release report using existing commands and scripts, and release-valid is computed only from actual gate results.","workbench;release;automation;priority:high","WB-0.4 Operate"
"WB-E8 Scaffolding And Docs UX","PR-WB-18 feat(workbench): project scaffolding","codex/wb-18-project-scaffolding","PR-WB-04, PR-WB-13","Workbench can create or initialize a project with the canonical package layout, manifest, starter sources, and starter smoke file without introducing nonstandard project structure.","workbench;scaffolding;project;priority:medium","WB-0.4 Operate"
"WB-E8 Scaffolding And Docs UX","PR-WB-19 feat(workbench): docs entry and package metadata preview","codex/wb-19-docs-metadata-preview","PR-WB-07, PR-WB-18","Users can open a docs landing page and inspect package metadata and manifest previews as read-only presentation derived from repository files and package documents.","workbench;docs;package;priority:low","WB-0.4 Operate"
"WB-E9 LSP Bridge","PR-WB-20 feat(workbench): smlsp bridge","codex/wb-20-smlsp-bridge","PR-WB-09, PR-WB-11, PR-WB-13","Workbench integrates a canonical editor-facing protocol through smlsp for hover, go-to-definition, inline diagnostics, and formatting, and does not invent a parallel editor semantics layer.","workbench;lsp;post-v1;priority:medium","WB-0.5 Protocol"
